date,ticker,vol10,momentum,market_cap,beta
1/17/2014,HOPE,17.858,0.125315941505687,1270.6593,1.17
1/17/2014,HOS,38.107,-0.06642134314627414,1659.4882,1.5419
1/17/2014,HP,20.151,0.25065758990626236,9176.7964,1.2137
1/17/2014,HPQ,25.526,0.07274047457248445,56881.5576,0.9565
1/17/2014,HPT,16.512,-0.03408158295830668,3915.9527,1.2808
1/17/2014,HR,8.492,-0.1712102146232434,2136.05,0.9027
1/17/2014,HRB,33.416,-0.034676089517078956,7955.5631,0.9570000000000001
1/17/2014,HRC,18.032,0.12828073977954912,2554.424,1.1662
1/17/2014,HRL,21.705,0.10981647809808305,12089.2239,0.8442
1/17/2014,HRS,18.858,0.27686000814519107,7538.9124,1.0257
1/17/2014,HSP,22.826999999999998,0.041593585567527035,7091.166,1.2085
1/17/2014,HTS,18.659000000000002,-0.16914895841319177,1723.19,0.7614
1/17/2014,HTSI,0.511,0.0077460774117354015,2442.4798,0.8482
1/17/2014,HTZ,19.894000000000002,-0.0795837196703965,12158.4076,1.3539
1/17/2014,HUBB,31.725,0.0171665908770964,6169.6039,0.9863
1/17/2014,HUBG,28.644000000000002,0.0023609653725079594,1545.2097,1.0246
1/17/2014,HXL,11.308,0.20575958610716624,4529.1811,1.1483
1/17/2014,IBKR,22.930999999999997,0.5318587163325265,9263.0165,0.8606
1/17/2014,ICON,15.802,0.21340713407134063,1919.1366,1.1014
1/17/2014,ICPT,799.202,0.25960698689956335,5663.1579,0.9547
1/17/2014,IDCC,30.406,-0.1846161824381263,1182.2216,0.8356
1/17/2014,IDTI,29.134,0.1377777777777778,1672.9212,1.3797
1/17/2014,IEX,14.39,0.2169411958196723,5957.4149,1.1929
1/17/2014,IGTE,38.99,0.580835603996367,2148.1971,1.0642
1/17/2014,IHS,36.031,0.07377351530800443,7893.7154,1.0893
1/17/2014,IMGN,57.233000000000004,-0.23230769230769227,1378.2794,1.2871
1/17/2014,IMPV,35.736999999999995,-0.14651437573847967,1397.6547,0.8357
1/17/2014,INCY,59.925,0.9961439588688947,9968.4667,1.3986
1/17/2014,INFA,22.963,0.05595332802970033,4618.3133,1.2606
1/17/2014,INFI,56.492,-0.2703757930697901,644.8416,1.0924
